"","Incident ID","Date","Time","Location","Infraction Categories","Infractions","Status","Description","Support:Called Guard?","Support:Special Duty Officer assisted?","Support:Called Police (911)?","Support:Did police respond?","Support:Filled out online police report?","Support:Called EMT?","Support:Called crisis line?","Support:Did crisis line respond?","Support:Called Fire Dept?","masked_reporter","Followup_binary","Date2","time_parsed","time_24h","time_12h","Location_Standard","hour_group","hour_label"
"11","22096","1/6/2023","11:05:00","Joel Valdez Main Library","Disruptive Personal Behavior","Disruptive Personal Behavior    2.3 Inappropriate use of water fountains or restrooms","Submitted","A man had been in the Children's restroom for about 30 minutes. The sink kept turning on and off. Guard JT knocked on the door and asked him if he was okay as he had been in the bathroom for a while. He said he was using the bathroom. He walked out about 5 minutes later and JT let him know that he was using the Children/Family restroom and in the future he should use one of the other restrooms on all three floors. He said he understood and left. JT and LIC DSL checked the restroom and discovered lots of black, curly hair all over the floor, sink, and wall. The day porter was called to clean it up. DSL and JT thought he left, but later discovered the man went up to the 2nd floor and began cutting his hair in the second floor men's room. He left black, curly hair all over the sink and floor. DSL let the man know that cutting his hair was an inappropriate use of our restrooms and asked him to leave for the day. He complied.","Yes","No","No","No","No","No","No","No","No","ID_0011",1,2023-01-06,0-01-01 11:05:00,"11:05:00","11:05:00 AM","Joel D. Valdez-Main",0-01-01 11:00:00,"11:00-11:59"
"12","22103","1/6/2023","11:15:00","Woods Memorial Library","Dangerous, Threatening, or Illegal Conduct","Dangerous, Threatening, or Illegal Conduct    1.1.2 Internet use that is harmful to minors","Submitted","Approximately 11:15 am, LA BA informed LIC CM that the unknown patron at computer #8 was watching pornography on the computer, and that there were children in the area. LIC CM, who was helping a patron at the time,  informed VetSec security guard MG to please speak to the unknown patron about the content he was watching, and that if he complied with turning it off, that he would only receive a warning for today. SG MG reported to LIC CM that the unknown patron became upset, at first, stating that he watches this when he is at Main, but then complied when SG MG explained to him that watching pornographic material with children in the area was unacceptable and unlawful. Unknown patron signed out of his computer and left the library without incident.","Yes","No","No","No","No","No","No","No","No","ID_0012",1,2023-01-06,0-01-01 11:15:00,"11:15:00","11:15:00 AM","Woods Memorial",0-01-01 11:00:00,"11:00-11:59"
"13","22099","1/6/2023","11:55:00","Joel Valdez Main Library","Dangerous, Threatening, or Illegal Conduct~Disruptive Personal Behavior","Dangerous, Threatening, or Illegal Conduct    1.1.7.3 Harassment: Profane, offensive, abusive language    1.1.8 Illegal drugs or alcohol: possessing, selling, or using~Disruptive Personal Behavior    2.1.1 Disruptive: Shouting or yelling    2.13 Failing to comply with staff request about behavior","Submitted","L1 KG let LIC DSL know that a regular customer, Gene, who gave his name as Gino, was passed out and may be intoxicated. DSL took a snack with her and asked Gino if he was all right. He struggled to wake up. DSL asked him if he was okay and he said he was fine, slurring his words. DSL noticed an open, nearly empty bottle of vodka sitting next to him, along with several Chick-Fil-A wrappers. DSL let him know that he could not have an open container of alcohol in the library and asked him to put it in his bag. She asked Gino if he had been drinking and he said yes, and that it was his business, not hers, and she should leave him alone. DSL said she was the librarian in charge and the safety and security of the library was her business. She asked Gino to please clean up his snack wrappers, as well as stand up, go outside, and get some fresh air. She told him he could not be drinking or intoxicated in the library. Gino put the bottle of alcohol in his jacket. He told DSL he wasn't going to leave and he was perfectly fine right where he was. DSL could smell alcohol on his breath when he spoke. He told her that ""she didn't really care,"" that the ""fresh air was right here,"" and she should just let him be. Guard S asked Gino to please gather his things and go outside on the plaza. Gino did so, but on his way out he yelled ""Fuck!"" and punched one of the book displays. Guard S calmly asked him to leave again and escorted him to the door. ""Fuck this!"" Gino yelled at DSL and S, ""Fuck you!"" DSL told him he would need to leave and he could not come back inside the library today. Guard S and Gino walked outside. Officer Fabian Valdez had just arrived and asked if he was needed. DSL told him about the situation and let him know that they did not need him at this time, but they may need him if Gino decided to re-enter the building. Gino began banging on the windows on the side of the building and guard S told him to stop. Gino left the property. He will be suspended for a month.","Yes","No","No","No","No","No","No","No","No","ID_0011",1,2023-01-06,0-01-01 11:55:00,"11:55:00","11:55:00 AM","Joel D. Valdez-Main",0-01-01 11:00:00,"11:00-11:59"
"14","22101","1/6/2023","14:20:00","Joel Valdez Main Library","Dangerous, Threatening, or Illegal Conduct","Dangerous, Threatening, or Illegal Conduct    1.1.8 Illegal drugs or alcohol: possessing, selling, or using","Submitted","The first floor women's restroom was closed due to a strong chemical drug smell.","No","No","No","No","No","No","No","No","No","ID_0011",0,2023-01-06,0-01-01 14:20:00,"14:20:00","02:20:00 PM","Joel D. Valdez-Main",0-01-01 14:00:00,"14:00-14:59"
"15","22104","1/9/2023","13:20:00","Flowing Wells Library","Dangerous, Threatening, or Illegal Conduct","Dangerous, Threatening, or Illegal Conduct    1.1.7.2 Harassment: Conduct, stares, or gestures causing fear of safety, distress, alarm, harassment","Submitted","TFL was on the desk alone and was issuing a library card when suddenly she heard Rafael say very loudly ""Wow, she didn't used to be so nice."" TFL has not interacted directly with Rafael since addressing his staring behaviors on 12/2/22.  When she was done helping all waiting customers she approached Rafael to ask whether he was the person who made this comment. He said that he had. TFL stated that making insulting comments about library staff members could be considered harassment and could result in suspension if it continues to happen. For documentation.","No","No","No","No","No","No","No","No","No","ID_0013",1,2023-01-09,0-01-01 13:20:00,"13:20:00","01:20:00 PM","Flowing Wells",0-01-01 13:00:00,"13:00-13:59"
"16","22106","1/9/2023","15:15:00","Joel Valdez Main Library","Dangerous, Threatening, or Illegal Conduct~Disruptive Personal Behavior","Dangerous, Threatening, or Illegal Conduct    1.1.4 Vandalizing property~Disruptive Personal Behavior    2.1.1 Disruptive: Shouting or yelling","Submitted","LIC LT received a call on the in-charge phone that there may be pee on the floor in front of the vending machine. LT came down and inspected the area. There was a strong odor and it was yellow in color. LT called the day porter for clean up.
Shortly after, the suspected patron came out of the restroom and started using the courtesy phone. Since there was no definitive proof, LT decided not to approach the patron.
However, a few minutes later the patron was seen and heard throwing and beating the courtesy phone's receiver. LIC LT told them to stop but they did not respond or acknowledge LT's presence. LIC LT and Guard M decided it was best to call 911 due to the person's erratic behavior and violent outbursts. The patron then threw the phone again and LT told them to stop and they needed to leave. It's unclear whether the patron heard LT's request but they left the building. LT cancelled the 911 call. 
Upon inspection, the phone's receiver is dented but it still works. 
While the person was on the phone, they could be heard giving their name as ""Joseph Mitchell."" It's unclear whether this is the person's name or not. The patron has gone by the name ""Samora"" in the past.
After reviewing the security footage, the patron can be seen lifting their skirt and peeing on the floor in front of the vending machine.
Patron will be suspended for 6 months.","Yes","No","Yes","No","No","No","No","No","No","ID_0014",1,2023-01-09,0-01-01 15:15:00,"15:15:00","03:15:00 PM","Joel D. Valdez-Main",0-01-01 15:00:00,"15:00-15:59"
"17","22105","1/9/2023","15:20:00","Flowing Wells Library","Disruptive Personal Behavior","Disruptive Personal Behavior    2.3 Inappropriate use of water fountains or restrooms    2.7 Not wearing shoes or shirt","Created","A customer reported a woman in the restroom with only a bra on.  When L3 TFL and L1 KN entered she was still without a top. It also appeared she may have been using the restroom for an extended period for grooming as the sink area was covered with her belongings (there is only one sink for all users.) TFL asked that she do any changing of clothes in a stall and that she not spend more than a few minutes using the sink going forward, to ensure access for all using the restroom. Most of her replies were difficult to understand as her speech was a bit slurred, but she seemed to understand the direction given. She left the restroom soon after.","No","No","No","No","No","No","No","No","No","ID_0013",0,2023-01-09,0-01-01 15:20:00,"15:20:00","03:20:00 PM","Flowing Wells",0-01-01 15:00:00,"15:00-15:59"
"18","22108","1/10/2023","14:50:00","Eckstrom-Columbus Library","Dangerous, Threatening, or Illegal Conduct","Dangerous, Threatening, or Illegal Conduct    1.1.4 Vandalizing property","Submitted","Manager KW was told that a patron had an issue with the condition of the men's restroom.  When she went to investigate, there was a large pile of toilet seat covers spread all over the floor and an empty box in one of the dispensers.  At closing time, Guard CS brought to KW's attention the same situation in the women's restroom.  Here 3 boxes of toilet seat covers were emptied and spread all over the restroom.  No indication of who was involved.","No","No","No","No","No","No","No","No","No","ID_0015",0,2023-01-10,0-01-01 14:50:00,"14:50:00","02:50:00 PM","Eckstrom-Columbus",0-01-01 14:00:00,"14:00-14:59"
"19","22107","1/10/2023","15:45:00","Joel Valdez Main Library","Dangerous, Threatening, or Illegal Conduct","Dangerous, Threatening, or Illegal Conduct    1.1.8 Illegal drugs or alcohol: possessing, selling, or using","Submitted","Closed restroom for smell consistent with illicit drug use.","No","No","No","No","No","No","No","No","No","ID_0016",0,2023-01-10,0-01-01 15:45:00,"15:45:00","03:45:00 PM","Joel D. Valdez-Main",0-01-01 15:00:00,"15:00-15:59"
"20","22114","1/11/2023","05:16:00","Woods Memorial Library","Dangerous, Threatening, or Illegal Conduct~Use and preservation of library materials and property","Dangerous, Threatening, or Illegal Conduct    1.1.4 Vandalizing property~Use and preservation of library materials and property    Use and preservation of library materials and property: Other not listed: Graffiti","Submitted","Graffiti was found on the North East side of the building facing the street.","No","No","No","No","No","No","No","No","No","ID_0017",0,2023-01-11,0-01-01 05:16:00,"05:16:00","05:16:00 AM","Woods Memorial",0-01-01 05:00:00,"05:00-05:59"
"21","22109","1/11/2023","14:35:00","Joel Valdez Main Library","Dangerous, Threatening, or Illegal Conduct~Disruptive Personal Behavior","Dangerous, Threatening, or Illegal Conduct    1.1.7.2 Harassment: Conduct, stares, or gestures causing fear of safety, distress, alarm, harassment    1.1.7.3 Harassment: Profane, offensive, abusive language~Disruptive Personal Behavior    2.1.1 Disruptive: Shouting or yelling","Submitted","At 2:35pm Guard J approached a man on the 1st floor who was talking to himself nonstop. She asked if he was ok and he became angry and started swearing at her and making threatening remarks. Guard J asked him to calm down and stop using profanity in the library, but he continued ranting and cursing. Guard J & LIC MB asked him to leave.
Shortly afterward, he came back inside, and J and MB lost track of him. Around 3:15pm, J reported to MB that he had been in the women's restroom, and tried to force himself into a stall that a teen volunteer was using. MB and J talked to him outside the women's restroom. He asked what floor he was on and was looking in confusion at the women's restroom sign. MB let him know that he would need to leave for the day and would be suspended because his behavior was threatening to other patrons. At this point he was mostly calm and mumbling to himself as he left without complaint.","Yes","No","No","No","No","No","No","No","No","ID_0006",1,2023-01-11,0-01-01 14:35:00,"14:35:00","02:35:00 PM","Joel D. Valdez-Main",0-01-01 14:00:00,"14:00-14:59"
"22","22113","1/11/2023","14:58:00","Valencia Library","Dangerous, Threatening, or Illegal Conduct~Disruptive Personal Behavior","Dangerous, Threatening, or Illegal Conduct    1.1.6 Disorderly conduct, fighting, violence, threatening, intimidating~Disruptive Personal Behavior    2.1 Disruptive behavior    2.1.1 Disruptive: Shouting or yelling","Submitted","Unknown male came out of the bathroom and went to let VetSec guard VM know that he was leaving for the day. VetSec guard told him, ""okay, have a nice day"". Unknown male started to walk out of the library but then turned around and started yelling at VetSec guard VM. He shouted, ""why do you have an attitude with me?"" VetSec guard VM then said, ""I don't have an attitude."" He then said, ""Yes you do you had one with me yesterday and again today."" VetSec guard then said, ""I am sorry if you think I have an attitude, I apologize."" Unknown male then said, ""I accept your apology but you need to work on that."" Unknown male then went to walk out of the library again. He then stopped at the front double doors and shouted, ""I bet you won't forget who I am now."" L3 IR and VetSec guard VM then watched as he walked to his car and began making various hand gestures and yelling random things. 
This report is for documentation purposes only.","No","No","No","No","No","No","No","No","No","ID_0018",0,2023-01-11,0-01-01 14:58:00,"14:58:00","02:58:00 PM","Valencia",0-01-01 14:00:00,"14:00-14:59"
"23","22110","1/11/2023","16:00:00","Joel Valdez Main Library","Dangerous, Threatening, or Illegal Conduct","Dangerous, Threatening, or Illegal Conduct    1.1.8 Illegal drugs or alcohol: possessing, selling, or using","Submitted","Guard S caught a man smoking pills in the 3rd floor men's restroom and asked him to wait for the librarian in charge. LIC MB asked the man's name he said it was Joseph. MB told him he would have to leave.","Yes","No","No","No","No","No","No","No","No","ID_0006",1,2023-01-11,0-01-01 16:00:00,"16:00:00","04:00:00 PM","Joel D. Valdez-Main",0-01-01 16:00:00,"16:00-16:59"
"24","22111","1/11/2023","16:43:00","Eckstrom-Columbus Library","Use and preservation of library materials and property","Use and preservation of library materials and property    Use and preservation of library materials and property: Other not listed: Evidence of bugs in returned items","Submitted","Regular teen patron OB returned items with live bugs inside.  All procedures were followed and YA LIB JCB spoke with patron regarding support services if needed.","No","No","No","No","No","No","No","No","No","ID_0015",0,2023-01-11,0-01-01 16:43:00,"16:43:00","04:43:00 PM","Eckstrom-Columbus",0-01-01 16:00:00,"16:00-16:59"
"25","22112","1/12/2023","09:00:00","Sam Lena-South Tucson Library","Dangerous, Threatening, or Illegal Conduct","Dangerous, Threatening, or Illegal Conduct    1.1.9 Trespassing","Submitted","While opening for the day, LA DB noticed Gene outside the gate and informed him that his recent suspension at MAI applied to all PCPL locations. I also let him know that there is a process to appeal the suspension. He was very polite and understanding and left the property voluntarily.","No","No","No","No","No","No","No","No","No","ID_0019",0,2023-01-12,0-01-01 09:00:00,"09:00:00","09:00:00 AM","Sam Lena-South Tucson",0-01-01 09:00:00,"09:00-09:59"
"26","22115","1/12/2023","10:04:00","Valencia Library","Dangerous, Threatening, or Illegal Conduct","Dangerous, Threatening, or Illegal Conduct    1.1.7 Harassing or stalking    1.1.7.2 Harassment: Conduct, stares, or gestures causing fear of safety, distress, alarm, harassment","Submitted","Trent Trout alias Trent Scott continues to call Valencia Library to ask if he is on the waiting list for computer classes. He has been told numerous times by multiple supervisors that he is on the waitlist and that he will get a call back from somebody if space opens up. This is a continuation of PITS incident 0000022102. 
L3 IR spoke to him on the phone on 01/11/2023 and suggested he try other locations that may have openings for computer classes. He said those were too far for him. When he called back on 01/12/2023, L1 VM told him she knew he spoke to our manager yesterday and was informed he was on the waitlist. L1 VM told him multiple times during the conversation that he was on the waitlist and he would get a call back if space opened up. He said okay and seemed to understand. 
Incidence of incoming calls to the VAL main phone line from Trent Trout alias Trent Scott:

 WED   01/11/2023   3:42 pm
WED   01/11/2023   3:45 pm
 WED   01/11/2023   4:02 pm
WED   01/11/2023   4:04 pm
 THU  01/12/2023    10:04 am","No","No","No","No","No","No","No","No","No","ID_0018",0,2023-01-12,0-01-01 10:04:00,"10:04:00","10:04:00 AM","Valencia",0-01-01 10:00:00,"10:00-10:59"
"27","22120","1/13/2023","12:15:00","Joel Valdez Main Library","Dangerous, Threatening, or Illegal Conduct~Disruptive Personal Behavior","Dangerous, Threatening, or Illegal Conduct    1.1.8 Illegal drugs or alcohol: possessing, selling, or using~Disruptive Personal Behavior    2.4 Sleeping    2.14 Any other behavior that seriously disrupts library operations or the use of the library by others: urinating on floor","Submitted","A man was lying on the floor in the 3rd floor computer lab and would not wake up. LIC DSL, Officer WC, and guard JT woke the man up. He had significant trouble standing and when DSL asked him if he had been drinking he said yes. The man smelled like alcohol and was singing to himself. DSL told him he could not sleep on the library floor and asked him if he could stand up and sit in a chair. The man got up, swaying on his feet, and decided to head down the elevators. DSL heard a thud like he had fallen in the elevator. The man walked out of the library, peeing on the floor as he went. DSL let the guards and officer know that he would not be allowed back in for the rest of the day.  As this is the second violation, he will be suspended for a week.","Yes","Yes","No","No","No","No","No","No","No","ID_0011",1,2023-01-13,0-01-01 12:15:00,"12:15:00","12:15:00 PM","Joel D. Valdez-Main",0-01-01 12:00:00,"12:00-12:59"
"28","22117","1/13/2023","12:50:00","Joel Valdez Main Library","Dangerous, Threatening, or Illegal Conduct","Dangerous, Threatening, or Illegal Conduct    1.1.6 Disorderly conduct, fighting, violence, threatening, intimidating    1.1.7.2 Harassment: Conduct, stares, or gestures causing fear of safety, distress, alarm, harassment","Submitted","Diego was unhappy that the 101 Space desk was staffed in the morning and said he wanted to ""punch [L1 BC] in the face because he wouldn't stop staring at him."" Security guard JT told Diego that BC was keeping an eye on the 101 Space and not just him. 
At around the same time L1 CR got a complaint from a teenage girl about Diego. She identified him very specifically and said he had spent yesterday following her and her sister around the library and asking for their phone numbers and Instagram accounts. She said he would not leave them alone. When she said she was going to leave, he told her that he was going to follow her out of the library. Today the girl and her sister were on the 3rd floor doing homework because they were too scared to sit in the 101 Space with Diego present. 
LIC DSL talked with Diego about his behavior and he denied following young women around the library, saying that a friend was talking to some girls, not him. He repeated that he wanted to punch L1 BC in the face. DSL told him that those kinds of threats were unacceptable and that the library took them seriously. DSL asked him to leave. He will be suspended for a week.","Yes","No","No","No","No","No","No","No","No","ID_0011",1,2023-01-13,0-01-01 12:50:00,"12:50:00","12:50:00 PM","Joel D. Valdez-Main",0-01-01 12:00:00,"12:00-12:59"
"29","22116","1/13/2023","13:30:00","Joel Valdez Main Library","No Infractions Set","No Infractions Set","Submitted","L1 WW called LIC AW from 1st floor desk, in reference to a patron who was acting oddly and mumbling incoherently.  AW tried to discern what the patron needed, and decided on a welfare check/ crisis team visit.  Visiting TPD Officer WC called the Crisis Line and described the situation.  The patron was waiting for about ten minutes before they wandered off to Jacome Plaza.  The Crisis Team arrived at 2:50; AW showed them a picture and gave them a description of the patron, and they said they would search the nearby vicinity for the patron.  For documentation purposes.","No","Yes","No","No","No","No","Yes","Yes","No","ID_0020",0,2023-01-13,0-01-01 13:30:00,"13:30:00","01:30:00 PM","Joel D. Valdez-Main",0-01-01 13:00:00,"13:00-13:59"
"30","22119","1/13/2023","14:00:00","Woods Memorial Library","Children in the Library","Children in the Library    Children in the Library: Other not listed: Telephone report of individual filming children","Submitted","At approximately 2:30PM, Librarian in Charge L1 HS received a phone call from someone named Kai, who declined to give their last name, and was reluctant to leave their phone number. They wanted to report to the library that they had seen an incident while a school group was visiting us yesterday. They did not identify themselves with any other title, or share their relationship, if any, to the school. They did know the name of the school.
Here is what they said:
·They saw someone they described as a bald Hispanic person, taking photos of the children
·They told the school principle what they saw
·The school principle told them they would file a police report
 
L2 MB and HS were present in the library during the school visit.
·MB was present in the public area while the school group was here, and was not alerted to an incident
·A Special Duty Officer was on-duty, when this occurred, and was not alerted
·Our security guard was also on duty, and was not alerted.
·MB and HS checked the security camera, and located the individual they think Kai was describing; the footage does not allow us to tell with any certainty if this person took a picture of the children. It does not look like they did.
MB will follow up with the teacher, to see how the teacher thinks the visit went. This will give the teacher an opportunity to share if they are uncomfortable with how the visit went, and give MB an opportunity to share with the teacher that the library has security and safety as a priority, and the teacher can speak with staff, the guard, or special duty officer, if needed, during a visit.","No","No","No","No","No","No","No","No","No","ID_0021",0,2023-01-13,0-01-01 14:00:00,"14:00:00","02:00:00 PM","Woods Memorial",0-01-01 14:00:00,"14:00-14:59"
